Pays,code,code2,Nom_pays,sensi_env,perc_env,soutien_pol_env,conn_env,depenses_env,part_depenses_env,ind_gini,educ_sup,rev_median,epi
AT,AUT,40,Austria,66.35605555895425,61.32017273288094,64.64799394398183,73.1,11320.5,3.2,29.7,29.7,24752,79.6
BG,BGR,100,Bulgaria,58.257963746708946,77.17466945024356,58.59922178988327,39,681.9,1.4,40.4,24.5,3588,57
CH,CHE,756,Switzerland,74.12876207635153,80.10220376876397,76.88408246029064,65.4,11317.2,1.9,32.7,36.8,43663,81.5
DE,DEU,276,Germany,72.06075722994979,73.58937885253674,72.7928928373126,69.8,67055,2.1,29.5,24.8,21906,77.2
DK,DNK,208,Denmark,75.74657920781938,85.84791792395896,75.09181969949917,66.3,5876.7,2.1,28.7,32.2,29383,82.5
EE,EST,233,Estonia,67.18572207084469,70.64,71.11716621253406,59.8,455.2,2.1,30.4,34.7,9389,65.3
ES,ESP,724,Spain,59.82839916328289,64.59948320413437,64.28571428571429,50.6,16985,1.5,34.7,33.2,14207,74.3
FI,FIN,246,Finland,72.2166749505727,71.67235494880546,74.07766990291262,70.9,3841,1.8,27.4,36.4,23987,78.9
FR,FRA,250,France,61.16705133228526,69.51813752030318,60.5830164765526,53.4,42884.8,1.9,31.6,31.4,21965,80
HU,HUN,348,Hungary,61.53770753077734,67.85474108944183,68.85838150289018,47.9,2088.4,1.8,30.6,20.9,4993,63.7
IT,ITA,380,Italy,63.465293448749556,76.12962117754451,68.16625916870416,46.1,29900.6,1.8,35.9,16.5,16542,71
LT,LTU,440,Lithuania,46.785808137858226,54.551971326164875,35.605453087409785,50.2,590.2,1.5,37.3,34.8,6135,62.9
NL,NLD,528,Netherlands,64.88251477417163,64.85909479077712,65.08844953173777,64.7,17935.6,2.5,28.5,32.1,23563,75.3
NO,NOR,578,Norway,68.2440948855575,69.82990152193375,71.40238313473877,63.5,5049.1,1.5,27,36.8,38494,77.7
PL,POL,616,Poland,55.44429801733529,68.82716049382715,46.20573355817875,51.3,8665.7,2,29.7,26.3,5960,60.9
PT,PRT,620,Portugal,62.7651070425264,54.729729729729726,72.36559139784946,61.2,2289.4,1.2,33.8,21.7,9071,67
RO,ROU,642,Romania,57.20974747965898,79.9863852961198,49.642857142857146,42,2105.5,1.2,36,15.3,2742,64.7
SE,SWE,752,Sweden,83.55201993424107,90.4156064461408,88.8404533565824,71.4,8718.5,1.9,28.8,36,25395,78.7
SI,SVN,705,Slovenia,71.38863372619163,84.82824427480917,69.0376569037657,60.3,858.1,2.1,24.2,28.7,12713,72
SK,SVK,703,Slovakia,60.30402550681466,59.597411933860535,66.61466458658346,54.7,1520.1,1.9,25.7,20.7,7183,68.3
